districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_5	school_1	ALL	-29.9	-70.1
district_5	school_1	AS	-18.9	-45.1
district_5	school_1	EL	-40	-81.1
district_5	school_1	ELO	-70.7	-106.9
district_5	school_1	EO	-30.9	-71.3
district_5	school_1	FI	NA	NA
district_5	school_1	FOS	NA	NA
district_5	school_1	HI	-35.6	-71.7
district_5	school_1	HOM	NA	NA
district_5	school_1	MR	9.9	-44.4
district_5	school_1	PI	NA	NA
district_5	school_1	RFP	35.3	-18.5
district_5	school_1	SED	-37.2	-76.4
district_5	school_1	SWD	-96.9	-152.6
district_5	school_1	WH	-5.5	-48.4
district_5	school_2	AA	-57.4	-77.4
district_5	school_2	AI	NA	NA
district_5	school_2	ALL	-25.3	-43
district_5	school_2	AS	5.3	13.5
district_5	school_2	EL	-47.6	-59.8
district_5	school_2	ELO	-65.9	-71.7
district_5	school_2	EO	-22	-41.3
district_5	school_2	FI	1.7	27.9
district_5	school_2	FOS	NA	NA
district_5	school_2	HI	-35.1	-53.1
district_5	school_2	HOM	NA	NA
district_5	school_2	MR	-65.3	-74.1
district_5	school_2	PI	NA	NA
district_5	school_2	RFP	25.7	-13
district_5	school_2	SED	-36.9	-54.2
district_5	school_2	SWD	-80.9	-103.7
district_5	school_2	WH	-1.7	-26.5
district_5	school_4	AA	-69.3	-92.8
district_5	school_4	AI	NA	NA
district_5	school_4	ALL	-32.2	-67
district_5	school_4	AS	-22.3	-42.9
district_5	school_4	EL	-38.1	-70.4
district_5	school_4	ELO	-62.2	-88.6
district_5	school_4	EO	-31.5	-67
district_5	school_4	FI	34.2	-35.2
district_5	school_4	FOS	NA	NA
district_5	school_4	HI	-35.1	-68.7
district_5	school_4	HOM	NA	NA
district_5	school_4	MR	16.1	-40.2
district_5	school_4	PI	-30.9	-63.6
district_5	school_4	RFP	21.3	-26.3
district_5	school_4	SED	-42.5	-75.9
district_5	school_4	SWD	-97.2	-127
district_5	school_4	WH	-16.5	-63.6
district_5	school_3	AA	-56.1	-102.1
district_5	school_3	AI	NA	NA
district_5	school_3	ALL	-34	-63.5
district_5	school_3	AS	-23.1	-52.9
district_5	school_3	EL	-78.4	-93.4
district_5	school_3	ELO	-98.5	-108.5
district_5	school_3	EO	-17.7	-52.7
district_5	school_3	FI	-5.3	-12.9
district_5	school_3	FOS	NA	NA
district_5	school_3	HI	-56	-85.5
district_5	school_3	HOM	NA	NA
district_5	school_3	MR	-12.6	-30.1
district_5	school_3	PI	NA	NA
district_5	school_3	RFP	44.7	-0.9
district_5	school_3	SED	-63.9	-90.1
district_5	school_3	SWD	-115.6	-153
district_5	school_3	WH	11.5	-15.8
district_5	school_8	AA	11.6	5.3
district_5	school_8	AI	NA	NA
district_5	school_8	ALL	37.8	23.8
district_5	school_8	AS	74.6	71.4
district_5	school_8	EL	19.3	13.1
district_5	school_8	ELO	-21.4	-34.3
district_5	school_8	EO	38.1	22.4
district_5	school_8	FI	45.8	25
district_5	school_8	HI	8.3	-13.5
district_5	school_8	MR	NA	NA
district_5	school_8	PI	NA	NA
district_5	school_8	RFP	76.8	79.9
district_5	school_8	SED	-3.4	-17.9
district_5	school_8	SWD	-25.4	-22.7
district_5	school_8	WH	52.1	40.6
